reaction,regulation
ASNS2,0
VPAMT,0
GLYK,0
HSST_2,0
TRE6PP,0
TRE6PS,0
UDPARA,0
XYLI2,0
PPC,1
ABTA,2
ACGK,0
G5SADs,0
G5SD,0
GLU5K,0
P5CR,0
ARGSS,0
CG_BIOMASS_cgl_ATCC13032,0
3HAD100,0
3HAD120,0
3HAD121,0
3HAD140,0
3HAD141,0
3HAD160,0
3HAD161,0
3HAD180,0
3HAD181,0
3HAD40,0
3HAD60,0
3HAD80,0
CLPN,0
EAR100x,0
EAR120x,0
EAR121x,0
EAR140x,0
EAR141x,0
EAR160x,0
EAR161x,0
EAR180x,0
EAR181x,0
EAR40x,0
EAR60x,0
EAR80x,0
G1PACT,0
GF6PTA,0
PIM,0
PIT,0
UAAGDS,0
UAGCVT,0
UAGDP,0
UAMAGS,0
UAMAS,0
UAMDH,0
3OAR121,0
3OAR141,0
3OAR161,0
3OAR181,0
AKGDH,0
ICDHyr,0
MDH3,1
PYRC,2
ASP1DC,0
ASPO5,0
CDPMEK,0
DMATT,0
DMPPS,0
DPCOAK,0
DPR,0
DXPRIi,0
DXPS,0
IPDPS,0
MECDPDH2,0
MECDPS,0
MEPCT,0
MOHMT,0
NADK,0
NADS1,0
NNDPR,0
PANTS,0
PNTK,0
PPCDC,0
PPNCL2,0
PTPATi,0
QULNS,0
UDCPDPS,0
CYSS,0
SADT2,0
SULRi,0
EX_ac_e,1
EX_acser_e,0
EX_fru_e,2
EX_h_e,1
EX_his__L_e,0
EX_ins_e,0
EX_lac__L_e,2
EX_mnl_e,2
EX_pyr_e,2
EX_thymd_e,0
EX_xtsn_e,0
MTHFR2,0
TMDS2,0
GLNS,2
GLUDC,2
GLUDy,1
GLUSy,2
PGCD,0
PSERT,0
PSP_L,0
HEX1,2
PDH,1
PFK,1
ATPPRT,0
HISTD,0
HISTP,0
IG3PS,0
IGPDH,0
PRAMPC,0
PRATPP,0
COBALT2tpp,0
Kt2,0
MN2tpp,0
NI2tpp,0
SO3TRDRD,0
ZN2tpp,0
CU2tpp,0
ACCOAC,1
TMCM_FREE,0
CYSTL,0
HSST,0
METAT,0
METS,0
SHSL1,0
NTD10,0
NTD11,0
NTD5,0
RNDR1,0
RNDR2,0
RNDR3,0
RNDR4,0
CYTBD2,1
CYTBO3_4,2
NADH16,2
NADH17,1
NADH5,1
SUCDi,2
TRDR,0
L_LACD3,1
GND,1
PGL,1
ADSS,0
AIRC2,0
ASPCT,0
CTPS2,0
DHORD2,0
GLUPRT,0
GMPS2,0
IMPD,0
OMPDC,0
PRAIS,0
PRASCSi,0
PRFGS,0
LDH,2
DAPDC,0
DAPDH,0
DHDPRy,0
DHDPS,0
HSK,0
THRS,0
CLt3_2,0
EX_BIOMASS,0
GLCpts,1
MNLpts,2
CO2t,1
Biotintpp,0
ANPRT,0
ANS,0
CHORM,0
CHORS,0
DDPA,0
DHQS,0
DHQTi,0
IGPS,0
PPND,0
PPNDH,0
PRAIi,0
SHKK,0
TRPS1,0
AGPSC,0
ARATH,0
DNA,0
FREENTCO,0
IONS,0
MYCOLI,0
PA,0
PEPTH,0
PPTHTH,0
RNA,0
PROTEIN,0
SOL_POOL,0
ACHBS,0
ACLS,0
DHAD1,0
DHAD2,0
IPMD,0
IPPS,0
OMCDC,0
VALTA,0
F6PP,2
SSALy,2
3OAS100,0
3OAS120,0
3OAS121,0
3OAS140,0
3OAS141,0
3OAS160,0
3OAS161,0
3OAS180,0
3OAS181,0
3OAS60,0
3OAS80,0
CS,0
GRTT,0
PYK,0
HSTPT,0
SULabc,0
FE2tpp,0
KAS15,0
GLCabc,2
THRD_L,0
ALAR,0
ALATA_L,0
ASPTA,1
ACHMSC,0
APG,0
CBMKr,0
G3PD2,0
HCO3E,0
PGMT,0
UDPG4E,0
M1PD,2
ACOTA,0
AGPR,0
ARGSL,0
GLUNATF,0
OCBT,0
3OAR100,0
3OAR120,0
3OAR140,0
3OAR160,0
3OAR180,0
3OAR40,0
3OAR60,0
3OAR80,0
ALAALAr,0
CDPDAG,0
GLUR,0
PGAMT,0
T2DECAI,0
GALUi,0
ACONTa,0
ACONTb,0
FUM,2
MDH,2
PY5PSH,0
SERAT,0
EX_ca2_e,0
EX_co2_e,1
EX_cobalt2_e,0
EX_cu2_e,0
EX_fe2_e,0
EX_fe3_e,0
EX_glc__D_e,1
EX_h2o_e,0
EX_k_e,0
EX_mg2_e,0
EX_mn2_e,0
EX_nh4_e,1
EX_ni2_e,0
EX_o2_e,1
EX_pi_e,0
EX_so4_e,0
EX_zn2_e,0
MTHFC,0
MTHFD,0
GHMT2r,0
ENO,1
FBA,1
GAPD,1
PGI,1
PGK,1
PGM,1
TPI,1
PRMICI,0
PRPPS,0
CAt6pp,0
MG2t3_2,0
NH4t,1
O2t,1
PIt2r,0
MCOATA,1
TDCM_FREE,0
ADK1,0
ADK2,0
CYTK1,0
CYTK2,0
DGK1,0
GK1,0
NDPK1,0
NDPK2,0
NDPK3,0
NNATr,0
UMPK,0
URIDK2r,0
ATPS4r,0
PPKr,1
G6PDH2r,1
RPE,1
RPI,1
TALA,1
TKT1,1
TKT2,1
ADSL1r,0
ADSL2r,0
AICART,0
AIRC3,0
DHORTS,0
GARFT,0
IMPC,0
ORPT,0
PRAGSr,0
ACKr,1
PTAr,1
ASAD,0
ASPK,0
HSDy,0
ACSERtex,0
ACt2r,1
EX_BIOTIN,0
EX_cl,0
FE3tex,0
FRUtex,2
H2Ot,0
HISt2r,0
INSt2rpp,0
L_LACt2r,2
NAtex,0
PYRt2r,2
THMDt2rpp,0
XTSNt2r,0
PHETA1,0
PSCVT,0
SHK3Dr,0
TYRTA,0
ILETA,0
IPPMIa,0
IPPMIb,0
KARA1,0
KARA2,0
LEUTAi,0
