reaction,regulation
3HAD100,0
3HAD120,0
3HAD121,0
3HAD140,0
3HAD141,0
3HAD160,0
3HAD161,0
3HAD180,0
3HAD181,0
3HAD40,0
3HAD60,0
3HAD80,0
3OAR100,0
3OAR120,0
3OAR121,0
3OAR140,0
3OAR141,0
3OAR160,0
3OAR161,0
3OAR180,0
3OAR181,0
3OAR40,0
3OAR60,0
3OAR80,0
3OAS100,0
3OAS120,0
3OAS121,0
3OAS140,0
3OAS141,0
3OAS160,0
3OAS161,0
3OAS180,0
3OAS181,0
3OAS60,0
3OAS80,0
ACCOAC,0
ACGK,0
ACHBS,0
ACHMSC,1
ACKr,0
ACLS,0
ACONTa,0
ACONTb,0
ACOTA,0
ADK1,2
ADK2,0
ADK3,4
ADSL1r,0
ADSL2r,0
ADSS,0
AGPR,0
AGPSC,0
AICART,0
AIRC2,0
AIRC3,0
AKGDH,0
ALAALAr,0
ALAR,0
ALATA_L,0
ANPRT,0
ANS,0
APG,0
ARATH,0
ARGSL,0
ARGSS,0
ASAD,0
ASNS2,0
ASP1DC,0
ASPCT,2
ASPK,0
ASPO5,0
ASPTA,0
ATPPRT,0
ATPS4r,0
Biotint3pp,2
Biotintpp,2
CAt6pp,0
CBMKr,0
CDPDAG,0
CDPMEK,0
CG_BIOMASS_cgl_ATCC13032,0
CHORM,0
CHORS,0
CLPN,0
CLt3_2,0
CO2t,0
COBALT2tpp,0
CS,0
CTPS2,0
CU2tpp,0
CYSS,0
CYSTL,0
CYTBD,0
CYTBD2,2
CYTK1,0
CYTK2,0
DAPDC,0
DAPDH,0
DDPA,0
DGK1,0
DHAD1,0
DHAD2,0
DHDPRy,0
DHDPS,0
DHORD2,2
DHORTS,2
DHQS,0
DHQTi,0
DMATT,0
DMPPS,0
DNA,0
DPCOAK,0
DPR,0
DTMPtex,2
DXPRIi,0
DXPS,0
D_LACt2,2
EAR100x,0
EAR120x,0
EAR121x,0
EAR140x,0
EAR141x,0
EAR160x,0
EAR161x,0
EAR180x,0
EAR181x,0
EAR40x,0
EAR60x,0
EAR80x,0
ENO,2
EX_BIOMASS,0
EX_ca2_e,0
EX_cl,0
EX_co2_e,0
EX_cobalt2_e,0
EX_cu2_e,0
EX_dtmp_e,2
EX_fe2_e,0
EX_fe3_e,2
EX_glc__D_e,2
EX_h2o_e,0
EX_h_e,2
EX_k_e,0
EX_lac__D_e,2
EX_mg2_e,0
EX_mn2_e,0
EX_nh4_e,0
EX_ni2_e,0
EX_o2_e,0
EX_pi_e,0
EX_pyr_e,2
EX_so4_e,0
EX_thymd_e,2
EX_xan_e,1
EX_xyl__D_e,2
EX_zn2_e,0
F6PP,1
FBA,2
FE2tpp,0
FE3tex,2
FEROpp,0
FREENTCO,0
FUM,0
G1PACT,0
G3PD2,0
G5SADs,0
G5SD,0
G6PDH2r,0
GALUi,0
GAPD,2
GARFT,0
GF6PTA,0
GHMT2r,0
GK1,0
GLCabc,2
GLCpts,2
GLNS,0
GLU5K,0
GLUDy,0
GLUNATF,0
GLUPRT,0
GLUR,0
GLYK,0
GMPS2,0
GND,0
GRTT,0
H2Ot,0
HCO3E,2
HISTD,0
HISTP,0
HSDy,0
HSK,0
HSST,1
HSST_2,2
HSTPT,0
ICDHyr,0
IG3PS,0
IGPDH,0
IGPS,0
ILETA,0
IMPC,0
IMPD,0
IONS,0
IPDPS,0
IPMD,0
IPPMIa,0
IPPMIb,0
IPPS,0
KARA1,0
KARA2,0
KAS15,0
Kt2,0
LDH_D,2
LEUTAi,0
MCOATA,0
MDH,4
MDH3,2
MECDPDH2,0
MECDPS,0
MEPCT,0
METAT,0
METS,0
MG2t3_2,0
MN2tpp,0
MOHMT,0
MTHFC,0
MTHFD,0
MTHFR2,0
MYCOLI,0
NADH16,0
NADH5,2
NADK,0
NADS1,0
NAtex,0
NDPK1,1
NDPK2,0
NDPK3,0
NH4t,0
NI2tpp,0
NNATr,0
NNDPR,0
NTD10,1
NTD5,2
O2t,0
OCBT,0
OMCDC,0
OMPDC,2
ORPT,2
P5CR,0
PA,0
PANTS,0
PDH,0
PEPTH,0
PFK,2
PGAMT,0
PGCD,0
PGI,2
PGK,2
PGL,0
PGM,2
PGMT,0
PHETA1,0
PIM,0
PIT,0
PIt2r,0
PNTK,0
PPC,0
PPCDC,0
PPKr,0
PPNCL2,0
PPND,0
PPNDH,0
PPTHTH,0
PRAGSr,0
PRAIS,0
PRAIi,0
PRAMPC,0
PRASCSi,0
PRATPP,0
PRFGS,0
PRMICI,0
PROTEIN,0
PRPPS,0
PSCVT,0
PSERT,0
PSP_L,0
PTAr,0
PTPATi,0
PY5PSH,0
PYK,2
PYRC,0
PYRt2r,2
QULNS,0
RBK,1
RNA,0
RNDR1,0
RNDR2,0
RNDR3,0
RNDR4,2
RPE,0
RPI,2
SADT2,0
SERAT,0
SHK3Dr,0
SHKK,0
SHSL1,2
SO3TRDRD,0
SOL_POOL,0
SUCDi,0
SUCOAS,0
SULRi,0
SULabc,0
T2DECAI,0
TALA,2
TDCM_FREE,0
THMDt2rpp,2
THRD_L,0
THRS,0
TKT1,2
TKT2,2
TMCM_FREE,0
TMDS2,2
TPI,2
TRDR,2
TRE6PP,0
TRE6PS,0
TRPS1,0
TYRTA,0
UAAGDS,0
UAGCVT,0
UAGDP,0
UAMAGS,0
UAMAS,0
UAMDH,0
UDCPDPS,0
UDPARA,0
UDPG4E,0
UMPK,2
URIDK2r,2
VALTA,2
VPAMT,1
XANt,1
XTSNH,1
XYLI1,2
XYLI2,1
XYLK,2
XYLabc,2
ZN2tpp,0
